time_of_day,trains_online,trains_recuperating,post_treatment_status,ro0_status,ro1_status,ro2_status,product_m3_per_hr,onspec_permeate_m3_per_hr,offspec_permeate_m3_per_hr,ro_kw,grid_kw,energy_price
17:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
19:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
19:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
19:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
19:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
20:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
20:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
20:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
20:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
21:00,0,0,0,0,0,0,0,0,0,0,177.6,0.1
21:15,0,0,0,0,0,0,0,0,0,0,177.6,0.1
21:30,0,0,0,0,0,0,0,0,0,0,177.6,0.1
21:45,0,0,0,0,0,0,0,0,0,0,177.6,0.1
22:00,0,0,0,0,0,0,0,0,0,0,177.6,0.1
22:15,0,0,0,0,0,0,0,0,0,0,177.6,0.1
22:30,0,0,0,0,0,0,0,0,0,0,177.6,0.1
22:45,0,0,0,0,0,0,0,0,0,0,177.6,0.1
23:00,0,0,0,0,0,0,0,0,0,0,177.6,0.1
23:15,0,0,0,0,0,0,0,0,0,0,177.6,0.1
23:30,0,0,0,0,0,0,0,0,0,0,177.6,0.1
23:45,0,0,0,0,0,0,0,0,0,0,177.6,0.1
