sweep_id,label,demand_af,capacity_fraction,delivered_af,objective,operating_cost,electricity_cost,peak_kw,restarts,offspec_af,peak_window_kwh,solver,termination,mip_gap,relaxation_gap,wall_seconds
s00,50% of capacity (153 AF),152.8,0.5,152.8,95615.4,95615.4,95615.4,1958.58,90,6.59235,27528.7,gurobi,optimal,0.00173479,0.0260566,15.13
s01,58% of capacity (177 AF),177.2,0.58,177.2,106053,106053,106053,1958.58,90,6.21413,27528.7,gurobi,optimal,0.000123626,0.0214858,13.08
s02,66% of capacity (202 AF),201.6,0.66,201.6,116622,116622,116622,1958.58,90,6.17809,27528.7,gurobi,optimal,7.47422e-14,0.0175724,12.82
s03,72% of capacity (220 AF),220,0.72,220,124633,124633,124633,1958.58,90,6.25638,27528.7,gurobi,optimal,0.000675063,0.0121883,12.42
s04,78% of capacity (238 AF),238.3,0.78,238.3,163252,163252,163252,1958.58,93,6.40045,50603.8,gurobi,optimal,5.61569e-14,0.126816,12.47
s05,83% of capacity (254 AF),253.6,0.83,253.6,191959,191959,191959,1958.58,67,3.7615,108080,gurobi,maxTimeLimit,0.0138359,0.0905246,433.36
s06,87% of capacity (266 AF),265.8,0.87,265.8,212695,212695,212695,1958.58,51,2.10097,154008,gurobi,optimal,0.00199825,0.0591015,376.27
